Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,5,0,20.6,3.0,7.4,.405,0.2,1.6,.125,2.8,5.8,.483,.419,0.6,0.6,1.000,1.8,4.8,6.6,2.0,0.2,0.2,1.6,2.0,6.8
Bam Adebayo,C,26,MIA,9,9,34.6,8.4,16.0,.528,0.1,0.2,.500,8.3,15.8,.528,.531,6.2,7.8,.800,2.6,7.9,10.4,3.8,1.2,1.4,3.1,2.2,23.2
Ochai Agbaji,SG,23,UTA,10,2,16.3,1.7,4.1,.415,1.0,2.7,.370,0.7,1.4,.500,.537,0.0,0.2,.000,0.5,1.7,2.2,1.0,0.2,0.6,0.7,1.3,4.4
Santi Aldama,PF,23,MEM,4,0,20.0,3.5,8.3,.424,1.3,3.0,.417,2.3,5.3,.429,.500,0.3,1.0,.250,0.8,3.8,4.5,1.3,0.5,0.5,1.3,1.5,8.5
Nickeil Alexander-Walker,SG,25,MIN,9,2,19.0,1.8,4.7,.381,0.9,2.7,.333,0.9,2.0,.444,.476,0.2,0.7,.333,0.1,2.1,2.2,2.8,0.9,0.8,0.9,1.6,4.7
Grayson Allen,SG,28,PHO,10,10,31.4,4.3,9.2,.467,2.7,5.6,.482,1.6,3.6,.444,.614,0.9,0.9,1.000,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2
Jarrett Allen,C,25,CLE,5,5,25.0,4.0,6.2,.645,0.0,0.0,,4.0,6.2,.645,.645,4.0,5.2,.769,3.6,3.6,7.2,1.8,0.6,0.6,1.4,2.2,12.0
Kyle Anderson,PF,30,MIN,9,0,24.9,3.1,5.2,.596,0.2,0.9,.250,2.9,4.3,.667,.617,1.0,1.8,.563,0.7,3.2,3.9,4.2,1.1,0.7,2.0,1.4,7.4
Giannis Antetokounmpo,PF,29,MIL,10,10,32.5,11.0,18.9,.582,0.6,2.4,.250,10.4,16.5,.630,.598,6.9,10.8,.639,2.3,7.3,9.6,3.6,0.9,1.3,4.3,2.9,29.5
Thanasis Antetokounmpo,PF,31,MIL,3,0,7.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.3,0.3,0.3,1.3,1.3,0.7
Cole Anthony,PG,23,ORL,9,0,23.6,4.2,9.7,.437,1.3,3.7,.364,2.9,6.0,.481,.506,3.8,4.8,.791,0.7,3.2,3.9,2.8,0.8,0.3,2.0,2.4,13.6
OG Anunoby,SF,26,TOR,8,8,31.4,6.3,12.3,.510,2.8,7.0,.393,3.5,5.3,.667,.622,1.1,1.9,.600,0.6,3.4,4.0,1.8,1.3,0.6,1.6,2.3,16.4
Ryan Arcidiacono,PG,29,NYK,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
