Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deni Avdija,SF,23,WAS,10,10,27.1,5.1,10.2,.500,1.1,3.0,.367,4.0,7.2,.556,.554,1.2,1.6,.750,1.5,4.5,6.0,3.9,1.1,0.3,1.7,2.3,12.5
Deandre Ayton,C,25,POR,9,9,31.8,5.6,9.6,.581,0.0,0.0,,5.6,9.6,.581,.581,0.3,0.3,1.000,2.7,9.6,12.2,1.2,1.8,1.0,1.8,3.1,11.4
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
Marvin Bagley III,C,24,DET,11,3,18.8,3.9,6.9,.566,0.1,0.5,.200,3.8,6.5,.592,.572,2.5,2.8,.903,1.5,3.4,4.8,1.3,0.0,0.5,1.3,1.8,10.5
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,2,0,4.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
LaMelo Ball,PG,22,CHO,9,9,32.9,7.6,17.6,.430,2.9,8.0,.361,4.7,9.6,.488,.513,3.6,4.3,.821,1.9,3.4,5.3,8.3,1.4,0.3,3.6,3.9,21.6
Mo Bamba,C,25,PHI,4,0,2.3,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.5,0.8,0.8,0.5
Paolo Banchero,PF,21,ORL,9,9,33.9,6.7,14.1,.472,0.9,2.7,.333,5.8,11.4,.505,.504,4.7,7.0,.667,1.6,5.3,6.9,5.3,1.4,0.3,3.7,2.9,18.9
Desmond Bane,SG,25,MEM,10,10,35.4,9.8,21.6,.454,3.5,9.9,.354,6.3,11.7,.538,.535,3.4,4.1,.829,0.7,4.1,4.8,4.5,1.6,1.0,2.7,3.2,26.5
Dalano Banton,PG,24,BOS,4,0,7.0,1.3,2.3,.556,0.0,0.5,.000,1.3,1.8,.714,.556,0.8,0.8,1.000,0.8,0.8,1.5,0.5,0.3,0.0,0.3,0.8,3.3
Dominick Barlow,PF,20,SAS,3,0,5.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.7,1.3,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,2.0
Harrison Barnes,PF,31,SAC,9,9,30.1,3.8,7.9,.479,1.7,4.3,.385,2.1,3.6,.594,.585,2.0,2.6,.783,0.8,2.3,3.1,1.2,0.4,0.1,0.6,0.9,11.2
Scottie Barnes,SG,22,TOR,10,10,36.1,7.6,16.4,.463,1.8,5.3,.340,5.8,11.1,.523,.518,3.1,4.1,.756,2.8,6.9,9.7,5.6,1.8,1.8,2.5,2.4,20.1
RJ Barrett,SG,23,NYK,7,7,31.1,7.9,16.1,.487,2.9,5.7,.500,5.0,10.4,.479,.575,4.0,4.7,.848,0.6,2.9,3.4,3.1,0.6,0.3,2.1,1.1,22.6
Charles Bassey,C,23,SAS,10,0,11.6,1.7,2.2,.773,0.0,0.1,.000,1.7,2.1,.810,.773,0.2,0.3,.667,1.3,2.4,3.7,1.0,0.8,0.6,0.6,1.5,3.6
Emoni Bates,SF,20,CLE,3,0,10.0,1.0,3.0,.333,0.7,2.0,.333,0.3,1.0,.333,.444,0.3,0.7,.500,0.3,1.7,2.0,0.3,0.0,0.3,0.3,0.3,3.0
Keita Bates-Diop,SF,28,PHO,7,4,22.1,2.6,6.0,.429,0.9,2.6,.333,1.7,3.4,.500,.500,0.7,1.3,.556,1.3,3.0,4.3,1.3,0.6,0.9,0.1,1.0,6.7
Nicolas Batum,PF,35,TOT,7,1,22.4,1.9,3.3,.565,1.4,2.9,.500,0.4,0.4,1.000,.783,0.0,0.0,,0.7,2.6,3.3,1.3,0.9,1.1,0.3,2.0,5.1
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,4,1,25.8,2.5,3.8,.667,2.0,3.3,.615,0.5,0.5,1.000,.933,0.0,0.0,,1.3,2.8,4.0,1.0,0.8,1.0,0.3,2.3,7.0
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,.391,1.7,5.0,.333,4.3,10.3,.419,.446,3.7,5.3,.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,10,10,25.1,2.9,6.7,.433,2.0,4.9,.408,0.9,1.8,.500,.582,0.5,0.9,.556,0.5,3.1,3.6,1.4,1.0,0.0,0.8,2.1,8.3
MarJon Beauchamp,SF,23,MIL,9,0,17.4,2.7,5.3,.500,1.2,2.8,.440,1.4,2.6,.565,.615,0.6,0.9,.625,0.9,1.7,2.6,1.0,0.2,0.1,0.8,1.7,7.1
Dāvis Bertāns,PF,31,OKC,3,0,8.3,0.3,1.7,.200,0.3,1.7,.200,0.0,0.0,,.300,2.0,2.0,1.000,0.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,3.0
Patrick Beverley,PG,35,PHI,9,0,15.6,1.0,2.6,.391,0.2,1.2,.182,0.8,1.3,.583,.435,0.1,0.1,1.000,1.2,2.0,3.2,2.1,0.6,0.6,0.6,1.8,2.3
Saddiq Bey,SF,24,ATL,9,3,27.6,3.9,8.6,.455,1.7,4.3,.385,2.2,4.2,.526,.552,1.1,1.2,.909,2.1,3.7,5.8,1.0,0.9,0.2,1.4,1.3,10.6
Goga Bitadze,C,24,ORL,7,4,14.4,2.0,3.6,.560,0.0,0.3,.000,2.0,3.3,.609,.560,1.6,2.1,.733,2.1,2.7,4.9,1.0,0.7,1.1,0.6,1.4,5.6
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,5,4,25.0,3.4,5.2,.654,0.0,0.0,,3.4,5.2,.654,.654,2.2,3.4,.647,4.8,4.8,9.6,1.4,0.6,1.0,0.8,3.2,9.0
Anthony Black,PG,20,ORL,7,3,19.0,2.4,3.7,.654,0.7,1.4,.500,1.7,2.3,.750,.750,0.7,1.0,.714,0.9,1.3,2.1,1.6,0.6,0.4,0.6,1.7,6.3
Leaky Black,SF,24,CHO,2,0,5.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,2.5
Bogdan Bogdanović,SG,31,ATL,9,0,25.0,4.9,11.3,.431,2.8,7.7,.362,2.1,3.7,.576,.554,0.4,0.4,1.000,0.3,2.3,2.7,3.0,1.6,0.3,1.0,1.9,13.0
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Devin Booker,SG,27,PHO,2,2,36.0,11.5,20.0,.575,4.0,7.5,.533,7.5,12.5,.600,.675,4.5,4.5,1.000,1.0,6.5,7.5,10.5,0.5,0.0,5.5,4.0,31.5
Chris Boucher,PF,31,TOR,8,0,16.1,2.3,4.5,.500,0.5,1.4,.364,1.8,3.1,.560,.556,1.8,2.0,.875,1.4,3.6,5.0,0.6,0.3,0.8,0.6,2.6,6.8
Jamaree Bouyea,PG,24,POR,1,0,12.0,3.0,6.0,.500,0.0,1.0,.000,3.0,5.0,.600,.500,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,6.0
Malaki Branham,SG,20,SAS,10,3,19.6,3.6,8.2,.439,1.1,3.1,.355,2.5,5.1,.490,.506,0.5,0.5,1.000,0.1,1.4,1.5,2.4,0.5,0.1,0.9,1.1,8.8
Christian Braun,SG,22,DEN,10,0,18.9,2.5,6.0,.417,0.4,1.8,.222,2.1,4.2,.500,.450,1.5,2.2,.682,1.1,3.3,4.4,2.2,0.5,0.3,0.6,1.4,6.9
Mikal Bridges,SF,27,BRK,10,10,34.5,7.5,16.7,.449,1.8,6.7,.269,5.7,10.0,.570,.503,3.4,4.0,.850,1.4,4.9,6.3,3.7,1.0,0.5,2.1,1.9,20.2
Oshae Brissett,SF,25,BOS,6,0,11.2,0.5,2.8,.176,0.2,1.5,.111,0.3,1.3,.250,.206,1.0,1.3,.750,1.0,1.3,2.3,0.3,0.7,0.0,0.3,0.8,2.2
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,.405,2.0,5.9,.340,4.1,9.3,.446,.471,3.0,3.8,.800,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
Armoni Brooks,PG,25,BRK,3,0,12.0,2.0,4.0,.500,1.7,3.0,.556,0.3,1.0,.333,.708,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.0,5.7
Dillon Brooks,SF,28,HOU,9,9,30.9,4.8,8.7,.551,1.8,3.3,.533,3.0,5.3,.563,.654,2.3,2.8,.840,0.4,3.8,4.2,2.0,1.1,0.1,2.0,3.4,13.7
Bruce Brown,SG,27,IND,10,10,31.1,4.2,9.2,.457,1.6,4.0,.400,2.6,5.2,.500,.543,1.0,1.2,.833,0.8,3.7,4.5,2.7,1.0,0.4,1.0,1.8,11.0
Jaylen Brown,SF,27,BOS,10,10,33.7,8.5,18.5,.459,2.8,7.7,.364,5.7,10.8,.528,.535,3.1,4.2,.738,0.5,4.7,5.2,3.2,1.0,0.4,2.5,2.7,22.9
Kobe Brown,PF,24,LAC,6,0,8.7,1.2,2.3,.500,0.5,1.3,.375,0.7,1.0,.667,.607,0.0,0.0,,0.3,1.0,1.3,0.3,0.2,0.2,0.2,1.3,2.8
Moses Brown,C,24,POR,1,0,5.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,2.0,.000,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0
Troy Brown Jr.,SF,24,MIN,6,0,5.8,0.5,1.5,.333,0.0,0.7,.000,0.5,0.8,.600,.333,1.0,1.0,1.000,0.2,1.5,1.7,0.3,0.2,0.0,0.5,0.2,2.0
Jalen Brunson,PG,27,NYK,10,10,34.3,8.0,18.9,.423,2.6,6.0,.433,5.4,12.9,.419,.492,4.0,4.9,.816,0.7,2.6,3.3,4.3,1.1,0.0,2.2,1.9,22.6
Thomas Bryant,C,26,MIA,9,1,13.6,2.2,4.1,.541,0.0,0.2,.000,2.2,3.9,.571,.541,1.1,1.4,.769,1.1,2.9,4.0,0.7,0.4,0.3,1.1,1.3,5.6
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,5,0,10.4,0.4,1.6,.250,0.4,1.4,.286,0.0,0.2,.000,.375,0.0,0.0,,0.0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
Alec Burks,SG,32,DET,5,0,24.6,4.0,9.2,.435,3.2,6.4,.500,0.8,2.8,.286,.609,4.0,4.8,.833,0.4,2.8,3.2,2.6,0.2,0.6,0.0,1.6,15.2
Jared Butler,SG,23,WAS,2,0,4.5,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5
Jimmy Butler,PF,34,MIA,8,8,33.8,5.8,13.6,.422,1.0,2.1,.471,4.8,11.5,.413,.459,6.0,6.9,.873,2.6,3.5,6.1,3.5,1.4,0.4,1.4,0.6,18.5
Jamal Cain,PF,24,MIA,3,0,10.0,1.3,3.0,.444,0.0,1.3,.000,1.3,1.7,.800,.444,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.3,0.7,2.7
Kentavious Caldwell-Pope,SG,30,DEN,10,10,33.3,3.5,7.4,.473,1.6,3.7,.432,1.9,3.7,.514,.581,1.1,1.1,1.000,0.2,1.7,1.9,1.7,1.8,0.5,1.2,2.5,9.7
Toumani Camara,PF,23,POR,9,0,24.6,1.9,5.6,.340,0.6,2.1,.263,1.3,3.4,.387,.390,1.0,1.3,.750,2.1,2.6,4.7,1.3,0.8,0.7,1.0,2.4,5.3
Clint Capela,C,29,ATL,9,9,24.8,4.1,7.2,.569,0.0,0.0,,4.1,7.2,.569,.569,1.7,2.4,.682,4.0,6.7,10.7,0.9,0.6,1.4,0.6,1.9,9.9
Jevon Carter,PG,28,CHI,11,0,14.8,2.7,5.7,.476,1.7,3.5,.500,1.0,2.3,.440,.627,0.0,0.1,.000,0.1,0.5,0.5,1.2,0.5,0.4,0.9,1.2,7.2
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,9,0,23.6,2.9,4.9,.591,1.2,2.8,.440,1.7,2.1,.789,.716,0.8,1.2,.636,1.4,2.4,3.9,2.4,1.6,0.8,1.0,2.6,7.8
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,5,0,7.2,0.8,3.6,.222,0.2,2.0,.100,0.6,1.6,.375,.250,0.0,0.0,,0.0,0.8,0.8,0.0,0.2,0.6,0.6,0.0,1.8
Max Christie,SG,20,LAL,6,0,17.0,1.2,4.3,.269,0.2,1.7,.100,1.0,2.7,.375,.288,0.7,0.8,.800,0.3,3.0,3.3,0.7,0.3,0.2,0.7,1.5,3.2
Jordan Clarkson,SG,31,UTA,10,10,31.3,5.9,15.2,.388,1.5,5.2,.288,4.4,10.0,.440,.438,3.2,3.8,.842,1.6,2.0,3.6,4.9,0.8,0.2,3.7,1.5,16.5
Nic Claxton,C,24,BRK,2,2,28.0,4.0,8.5,.471,0.0,0.0,,4.0,8.5,.471,.471,0.5,0.5,1.000,4.0,6.0,10.0,3.0,0.0,3.5,0.0,1.5,8.5
Amir Coffey,SF,26,LAC,5,0,7.4,0.4,1.6,.250,0.0,0.4,.000,0.4,1.2,.333,.250,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.0,0.0,0.4,0.4,1.6
John Collins,PF,26,UTA,10,10,31.1,5.6,10.3,.544,1.5,3.5,.429,4.1,6.8,.603,.617,2.3,3.2,.719,2.5,5.5,8.0,0.9,0.6,0.7,1.3,3.5,15.0
Zach Collins,C,26,SAS,10,10,29.8,5.6,10.5,.533,1.0,3.7,.270,4.6,6.8,.676,.581,1.8,2.5,.720,1.6,4.4,6.0,4.0,0.6,1.1,2.6,3.4,14.0
Mike Conley,PG,36,MIN,9,9,29.1,3.9,7.8,.500,1.9,4.4,.425,2.0,3.3,.600,.621,0.8,0.8,1.000,0.8,2.6,3.3,5.0,0.8,0.1,0.7,2.2,10.4
Pat Connaughton,SF,31,MIL,10,0,22.0,1.9,4.8,.396,0.8,2.9,.276,1.1,1.9,.579,.479,0.9,1.1,.818,0.5,2.3,2.8,2.3,0.5,0.2,0.6,1.3,5.5
Bilal Coulibaly,SF,19,WAS,10,1,25.5,3.0,6.0,.500,1.4,3.2,.438,1.6,2.8,.571,.617,0.8,1.5,.533,0.5,3.2,3.7,1.8,1.1,0.8,1.3,1.8,8.2
Robert Covington,SF-PF,33,TOT,9,3,15.3,1.0,2.9,.346,0.6,2.1,.263,0.4,0.8,.571,.442,0.6,0.7,.833,0.8,1.4,2.2,1.0,1.9,0.4,0.2,1.7,3.1
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,6,0,11.5,1.0,2.8,.353,0.5,1.8,.273,0.5,1.0,.500,.441,0.7,0.7,1.000,0.8,1.2,2.0,0.3,1.8,0.3,0.3,1.3,3.2
Torrey Craig,SF,33,CHI,11,6,22.6,1.9,5.0,.382,0.8,2.4,.346,1.1,2.6,.414,.464,0.2,0.2,1.000,2.1,3.6,5.7,1.5,0.7,0.4,0.4,2.8,4.8
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,11,11,36.1,8.4,20.5,.409,1.9,6.5,.296,6.5,14.0,.461,.456,3.8,4.4,.875,0.5,3.2,3.6,6.9,0.5,0.3,4.9,3.4,22.5
Seth Curry,SG,33,DAL,7,0,8.3,0.7,2.3,.313,0.3,1.1,.250,0.4,1.1,.375,.375,0.3,0.4,.667,0.4,0.6,1.0,0.6,0.3,0.1,0.4,0.6,2.0
Stephen Curry,PG,35,GSW,11,11,32.5,9.5,19.5,.488,5.6,12.6,.446,3.9,6.9,.566,.633,6.0,6.5,.930,0.9,3.7,4.6,3.9,1.0,0.2,3.7,1.5,30.7
Dyson Daniels,PG,20,NOP,10,3,26.1,3.2,6.9,.464,1.0,2.9,.345,2.2,4.0,.550,.536,0.9,1.6,.563,1.2,3.9,5.1,3.0,1.2,0.5,1.6,1.7,8.3
Anthony Davis,C,30,LAL,9,9,37.2,8.7,16.4,.527,0.3,0.9,.375,8.3,15.6,.536,.537,6.2,7.0,.889,3.1,8.9,12.0,3.7,0.8,3.0,1.3,2.9,23.9
Johnny Davis,SG,21,WAS,5,0,11.2,2.4,4.6,.522,0.2,0.4,.500,2.2,4.2,.524,.543,0.4,0.6,.667,0.6,0.8,1.4,0.2,0.8,0.2,0.4,1.0,5.4
DeMar DeRozan,SF,34,CHI,11,11,34.9,7.5,17.2,.434,0.7,2.3,.320,6.7,14.9,.451,.455,5.5,6.5,.847,1.2,1.8,3.0,4.5,1.1,1.1,0.8,2.2,21.2
Moussa Diabaté,C,22,LAC,6,0,7.5,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,0.8,1.0,.833,1.7,0.8,2.5,0.7,0.3,0.0,0.3,0.7,3.5
Gradey Dick,SG,20,TOR,10,0,15.1,1.3,4.1,.317,0.7,2.6,.269,0.6,1.5,.400,.402,0.4,0.4,1.000,0.7,1.1,1.8,1.0,0.2,0.0,0.8,1.6,3.7
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,.382,0.7,2.5,.280,0.6,0.9,.667,.485,0.3,0.4,.750,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
Spencer Dinwiddie,PG,30,BRK,9,9,27.0,3.6,8.4,.421,2.1,5.6,.380,1.4,2.9,.500,.546,1.4,2.2,.650,0.1,3.0,3.1,4.8,0.4,0.1,1.3,1.4,10.7
Donte DiVincenzo,SG,27,NYK,10,0,19.4,2.5,6.8,.368,1.5,4.5,.333,1.0,2.3,.435,.478,0.7,1.2,.583,0.9,2.0,2.9,1.6,0.8,0.4,1.1,1.7,7.2
Luka Dončić,PG,24,DAL,10,10,35.8,11.2,21.3,.526,4.3,10.3,.417,6.9,11.0,.627,.627,5.9,7.5,.787,0.6,7.8,8.4,8.5,1.3,0.5,4.2,1.9,32.6
Luguentz Dort,SF,24,OKC,10,10,30.3,4.4,8.8,.500,2.3,4.8,.479,2.1,4.0,.525,.631,2.7,3.3,.818,1.4,3.4,4.8,1.3,1.4,1.1,1.2,3.0,13.8
Ayo Dosunmu,SG,24,CHI,9,0,14.9,2.3,4.3,.538,0.9,1.9,.471,1.4,2.4,.591,.641,0.3,0.4,.750,0.6,0.9,1.4,1.1,0.6,0.1,0.4,1.1,5.9
Andre Drummond,C,30,CHI,11,0,13.5,2.8,5.0,.564,0.0,0.0,,2.8,5.0,.564,.564,0.7,1.4,.533,2.5,2.9,5.4,0.7,1.4,0.2,1.0,1.4,6.4
Chris Duarte,SF,26,SAC,9,0,14.1,1.3,4.3,.308,0.8,2.8,.280,0.6,1.6,.357,.397,0.9,1.2,.727,0.1,1.2,1.3,1.0,0.6,0.1,0.6,3.1,4.3
Kris Dunn,PG,29,UTA,8,0,12.8,1.6,4.0,.406,0.4,1.0,.375,1.3,3.0,.417,.453,0.5,0.8,.667,0.4,1.9,2.3,2.5,0.6,0.0,1.3,1.6,4.1
Kevin Durant,PF,35,PHO,10,10,36.7,10.1,20.3,.498,1.8,4.2,.429,8.3,16.1,.516,.542,8.0,9.4,.851,0.5,6.6,7.1,4.6,0.9,1.2,4.1,1.6,30.0
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Tari Eason,PF,22,HOU,3,0,16.3,2.7,7.3,.364,1.0,2.3,.429,1.7,5.0,.333,.432,0.0,0.0,,2.0,4.7,6.7,1.3,0.3,1.0,0.7,1.7,6.3
Anthony Edwards,SG,22,MIN,9,9,35.9,10.4,21.4,.487,2.4,6.8,.361,8.0,14.7,.545,.544,5.1,6.1,.836,0.9,5.3,6.2,5.4,1.3,0.3,3.7,1.8,28.4
Kessler Edwards,SF,23,SAC,7,0,5.1,0.1,0.9,.167,0.1,0.6,.250,0.0,0.3,.000,.250,0.1,0.3,.500,0.0,0.7,0.7,0.4,0.1,0.1,0.1,0.7,0.6
Keon Ellis,SG,24,SAC,6,2,13.5,1.5,3.7,.409,0.8,3.0,.278,0.7,0.7,1.000,.523,1.0,1.8,.545,0.3,1.3,1.7,0.8,0.8,0.7,0.8,1.2,4.8
Joel Embiid,C,29,PHI,9,9,33.8,11.0,21.8,.505,1.3,3.7,.364,9.7,18.1,.534,.536,9.1,10.8,.845,3.4,8.2,11.7,5.7,0.7,2.1,3.8,2.4,32.4
Drew Eubanks,C,26,PHO,10,0,18.6,2.9,4.6,.630,0.0,0.0,,2.9,4.6,.630,.630,1.5,1.9,.789,1.6,3.5,5.1,2.0,0.3,1.5,1.4,2.1,7.3
Dante Exum,PG,28,DAL,9,0,7.9,1.4,3.1,.464,0.3,0.7,.500,1.1,2.4,.455,.518,0.2,0.4,.500,0.3,1.4,1.8,1.0,0.3,0.2,0.1,0.9,3.4
Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
Dorian Finney-Smith,PF,30,BRK,10,9,31.0,4.6,9.8,.469,3.2,7.1,.451,1.4,2.7,.519,.633,0.1,0.3,.333,2.0,3.4,5.4,1.5,0.2,0.8,1.0,2.6,12.5
Malachi Flynn,PG,25,TOR,10,0,15.3,1.9,4.1,.463,1.1,2.4,.458,0.8,1.7,.471,.598,0.6,0.7,.857,0.3,1.4,1.7,1.9,0.9,0.0,1.2,1.4,5.5
Simone Fontecchio,SF,28,UTA,8,0,10.0,2.0,4.0,.500,1.1,2.6,.429,0.9,1.4,.636,.641,0.0,0.0,,0.8,1.3,2.0,0.5,0.3,0.3,1.0,0.8,5.1
Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8
Trent Forrest,SG,25,ATL,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
De'Aaron Fox,PG,26,SAC,4,4,35.5,11.3,22.5,.500,2.8,7.5,.367,8.5,15.0,.567,.561,5.3,7.0,.750,1.0,2.8,3.8,6.0,1.3,0.5,2.3,3.5,30.5
