Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dante Exum,PG,28,DAL,7,0,5.7,1,2.1,0.467,0.1,0.4,0.333,0.9,1.7,0.5,0.5,0.3,0.6,0.5,0.3,1.6,1.9,0.3,0.3,0.1,0.1,0.4,2.4
Stanley Umude,SG,24,DET,7,0,6.4,0.9,2,0.429,0.6,1.1,0.5,0.3,0.9,0.333,0.571,0.1,0.1,1,0,0.7,0.7,0,0.1,0.1,0.4,1.1,2.4
Jordan Ford,PG,25,SAC,3,0,3.7,0.7,1.3,0.5,0.3,0.3,1,0.3,1,0.333,0.625,0.7,0.7,1,0,0.3,0.3,0.3,0,0,0,0,2.3
Danuel House Jr.,SF,30,PHI,3,0,9.7,1,2.3,0.429,0,1,0,1,1.3,0.75,0.429,0.3,0.3,1,0.3,1,1.3,0.7,0.3,0.3,1,0.3,2.3
Blake Wesley,SG,20,SAS,3,0,6,1,2.7,0.375,0,0.3,0,1,2.3,0.429,0.375,0.3,0.7,0.5,0.3,0.3,0.7,1,0,0.3,0.3,0.7,2.3
Cam Whitmore,SF,19,HOU,3,0,7.7,1,3,0.333,0,1,0,1,2,0.5,0.333,0.3,0.7,0.5,0,1,1,0.3,0.3,0,0.7,0.3,2.3
Joe Ingles,SF,36,ORL,7,0,18.3,0.7,2.9,0.25,0.4,2,0.214,0.3,0.9,0.333,0.325,0.3,0.4,0.667,0.3,2.1,2.4,2.4,0.7,0,1,1.6,2.1
Dominick Barlow,PF,20,SAS,3,0,5.3,0.7,1.7,0.4,0,0,,0.7,1.7,0.4,0.4,0.7,1.3,0.5,0,0.3,0.3,0,0,0,0,0.3,2
Kobe Brown,PF,24,LAC,5,0,7.8,0.8,2,0.4,0.4,1.4,0.286,0.4,0.6,0.667,0.5,0,0,,0.2,1.2,1.4,0.4,0.2,0.2,0,1.2,2
Troy Brown Jr.,SF,24,MIN,5,0,6.6,0.6,1.8,0.333,0,0.8,0,0.6,1,0.6,0.333,0.8,0.8,1,0.2,1.8,2,0.4,0.2,0,0.6,0.2,2
Colin Castleton,C,23,LAL,2,0,9.5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0.5,1.5,1,0,0,0,2.5,2
Moussa Diabaté,C,22,LAC,4,0,4.5,0.8,1.5,0.5,0,0,,0.8,1.5,0.5,0.5,0.5,0.5,1,0.8,0,0.8,1,0.5,0,0.5,0,2
Devonte' Graham,PG,28,SAS,1,0,12,0,2,0,0,1,0,0,1,0,0,2,2,1,1,0,1,1,2,1,0,0,2
Justin Holiday,SG,34,DEN,3,0,5.7,0.7,1.3,0.5,0.7,1.3,0.5,0,0,,0.75,0,0,,0,1.3,1.3,0,0,0,0,0.3,2
Richaun Holmes,PF,30,DAL,1,0,7,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,1,3,1,0,0,1,2,2
Ty Jerome,SG,26,CLE,2,0,7.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0.5,0,0.5,1.5,0,0,0.5,1,2
Saben Lee,PG,24,PHO,3,0,3.3,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,0,0,,0.7,0.3,1,1,0,0.3,0,0.3,2
Robin Lopez,C,35,MIL,1,0,6,0,0,,0,0,,0,0,,,2,2,1,0,0,0,1,0,0,1,0,2
Caleb Martin,SF,28,MIA,1,0,20,1,7,0.143,0,3,0,1,4,0.25,0.143,0,0,,1,2,3,1,1,0,0,1,2
KJ Martin,SF,23,TOT,5,0,7.8,0.8,2.2,0.364,0.2,1,0.2,0.6,1.2,0.5,0.409,0.2,0.4,0.5,0.2,0.6,0.8,0.4,0.4,0.2,0.6,1,2
Sam Merrill,SG,27,CLE,3,0,7,0.7,2,0.333,0.7,1.7,0.4,0,0.3,0,0.5,0,0,,0.3,0.7,1,1,0.7,0,0.3,0,2
Jared Rhoden,SG,24,DET,4,0,5.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.5,0.5,0.5,1,0.3,0.8,1,0.8,0,0,0.3,0.8,2
Jermaine Samuels,SF,25,HOU,3,0,6.7,0.7,1,0.667,0,0.3,0,0.7,0.7,1,0.667,0.7,0.7,1,0.3,0.7,1,0,0,0.3,0,1,2
Garrett Temple,SG,37,TOR,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,2
P.J. Tucker,PF,38,PHI,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,,0.6,0,0,,0.3,4.3,4.7,0,1,0.7,0.7,3,2
James Wiseman,C,22,DET,2,0,8.5,1,3.5,0.286,0,0,,1,3.5,0.286,0.286,0,0,,0,2.5,2.5,0.5,0,0,0.5,2,2
Julian Champagnie,SF,22,SAS,5,0,7.2,0.8,3.6,0.222,0.2,2,0.1,0.6,1.6,0.375,0.25,0,0,,0,0.8,0.8,0,0.2,0.6,0.6,0,1.8
Seth Curry,SG,33,DAL,5,0,9,0.8,2.4,0.333,0.2,1,0.2,0.6,1.4,0.429,0.375,0,0,,0.4,0.8,1.2,0.8,0.4,0.2,0.6,0.8,1.8
Jacob Gilyard,PG,25,MEM,5,0,11.8,0.6,1.2,0.5,0.6,1,0.6,0,0.2,0,0.75,0,0,,0,0.6,0.6,3,0.2,0.2,0.4,0.4,1.8
Dalen Terry,SG,21,CHI,4,0,2.8,0.8,2,0.375,0.3,1,0.25,0.5,1,0.5,0.438,0,0.5,0,0,1,1,0.8,0,0,0.3,0.3,1.8
P.J. Tucker,SF-PF,38,TOT,6,3,19.8,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0.5,0.5,1,1.7,2.7,4.3,0.5,0.8,0.5,0.3,2.8,1.8
DaQuan Jeffries,SG,26,NYK,3,0,3,0.7,1.3,0.5,0.3,1,0.333,0.3,0.3,1,0.625,0,0,,0,0.7,0.7,0,0,0,0.3,0.3,1.7
Sandro Mamukelashvili,C,24,SAS,3,0,6.3,0.7,1.7,0.4,0,1,0,0.7,0.7,1,0.4,0.3,0.7,0.5,1.3,1,2.3,0.3,0.3,0,0,0.7,1.7
P.J. Tucker,SF,38,LAC,3,0,17.7,0.3,2,0.167,0,1,0,0.3,1,0.333,0.167,1,1,1,3,1,4,1,0.7,0.3,0,2.7,1.7
Miles McBride,PG,23,NYK,5,0,4.4,0.6,1.6,0.375,0.2,1.2,0.167,0.4,0.4,1,0.438,0.2,0.4,0.5,0,0.2,0.2,0.2,0.6,0,0,0.4,1.6
Josh Minott,SF,21,MIN,5,0,2.6,0.6,1.2,0.5,0,0.4,0,0.6,0.8,0.75,0.5,0.4,0.6,0.667,0,0,0,0.2,0,0.2,0,0.4,1.6
Jared Butler,SG,23,WAS,2,0,4.5,0.5,2,0.25,0.5,1.5,0.333,0,0.5,0,0.375,0,0,,0,0,0,0.5,0,0,0.5,0,1.5
Jaxson Hayes,C,23,LAL,6,0,9.2,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,0.7,0.75,0.3,1.3,1.7,0.3,0.2,0.3,0.7,1.8,1.5
D'Moi Hodge,SG,25,LAL,2,0,7.5,0.5,2.5,0.2,0,2,0,0.5,0.5,1,0.2,0.5,1,0.5,0,0,0,0.5,0,0.5,0.5,1,1.5
Bryce McGowens,SG,21,CHO,2,0,12.5,0,0.5,0,0,0.5,0,0,0,,0,1.5,2,0.75,0,2.5,2.5,0.5,1,0,1,1,1.5
Olivier Sarr,C,24,OKC,4,0,11,0.3,0.3,1,0,0,,0.3,0.3,1,1,1,1.5,0.667,0.8,3.8,4.5,0.3,0,1.3,0.5,1.5,1.5
Damian Jones,C,28,CLE,5,0,6.6,0.6,0.6,1,0,0,,0.6,0.6,1,1,0.2,0.4,0.5,0.4,1,1.4,0.4,0,0.2,0.4,0.6,1.4
E.J. Liddell,PF,23,NOP,3,0,3,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,1.3
Chimezie Metu,C,26,PHO,3,0,3,0.3,1,0.333,0,0.3,0,0.3,0.7,0.5,0.333,0.7,0.7,1,0,0.7,0.7,0.3,0,0.3,0.3,0,1.3
Reggie Bullock,SF,32,HOU,5,0,10.4,0.4,1.6,0.25,0.4,1.4,0.286,0,0.2,0,0.375,0,0,,0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
Jaden Springer,SG,21,PHI,5,0,8.8,0.4,2.6,0.154,0,0.6,0,0.4,2,0.2,0.154,0.4,0.8,0.5,0.8,0.8,1.6,1,0.2,0.8,0.8,1.6,1.2
Thanasis Antetokounmpo,PF,31,MIL,2,0,5.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,1,0.5,0,1.5,1,1
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,2,2,0,0,0,0,0.5,1
Bol Bol,PF,24,PHO,2,0,3.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0.5,0.5,0,0,0.5,1,0,1
Taylor Hendricks,PF,20,UTA,1,0,2,0,0,,0,0,,0,0,,,1,2,0.5,0,1,1,0,0,0,0,0,1
DeAndre Jordan,C,35,DEN,1,0,12,0,0,,0,0,,0,0,,,1,2,0.5,1,0,1,1,0,0,1,2,1
Jordan McLaughlin,PG,27,MIN,5,0,3.8,0.2,0.8,0.25,0.2,0.4,0.5,0,0.4,0,0.375,0.4,0.4,1,0,0,0,1,0,0.4,0,0.4,1
Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,1
Kessler Edwards,SF,23,SAC,5,0,6.2,0.2,1.2,0.167,0.2,0.8,0.25,0,0.4,0,0.25,0.2,0.4,0.5,0,1,1,0.6,0.2,0.2,0.2,1,0.8
Jalen McDaniels,SF,26,TOR,6,0,9.3,0.3,2.3,0.143,0.2,1.8,0.091,0.2,0.5,0.333,0.179,0,0,,0.2,1,1.2,0.7,0.3,0.2,0.2,0.7,0.8
Cody Zeller,C,31,NOP,5,0,6.2,0.2,1.4,0.143,0,0,,0.2,1.4,0.143,0.143,0.4,1,0.4,1,1.2,2.2,1.2,0,0,0,0.6,0.8
Jett Howard,SF,20,ORL,3,0,4,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,,0.3,0.3,0.7,0.3,0,0,0,0,0.7
Andre Jackson Jr.,SG,22,MIL,3,0,5.7,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0.3,1.3,1.7,1.3,1,0,0.3,2.3,0.7
Daishen Nix,PG,21,MIN,3,0,2.3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0,0,0,0,0.3,0,0,0,0.7
Chuma Okeke,SF,25,ORL,3,0,4,0.3,1,0.333,0,0.7,0,0.3,0.3,1,0.333,0,0,,0.7,1,1.7,0.3,0,0,0.3,0,0.7
Terry Taylor,PF,24,CHI,3,0,2,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0,0.3,0.3,0,0,0,0,0,0.7
Mo Bamba,C,25,PHI,4,0,2.3,0,0.5,0,0,0,,0,0.5,0,0,0.5,0.5,1,0.5,1,1.5,0,0,0.5,0.8,0.8,0.5
Kobe Bufkin,SG,20,ATL,2,0,2,0,1.5,0,0,0.5,0,0,1,0,0,0.5,1,0.5,0.5,0.5,1,0,0,0,0,0,0.5
Amir Coffey,SF,26,LAC,4,0,6,0,0.5,0,0,0,,0,0.5,0,0,0.5,0.5,1,0,0.3,0.3,0.5,0,0,0.5,0.3,0.5
Braxton Key,SF,26,DEN,4,0,2.5,0.3,1,0.25,0,0.3,0,0.3,0.8,0.333,0.25,0,0,,0,0.3,0.3,0.8,0,0,0,0.5,0.5
Hunter Tyson,PF,23,DEN,4,0,2.8,0.3,0.8,0.333,0,0.5,0,0.3,0.3,1,0.333,0,0,,0,0.8,0.8,0,0,0,0,1,0.5
Aleksej Pokusevski,PF,22,OKC,3,0,6,0,1.3,0,0,1.3,0,0,0,,0,0.3,0.7,0.5,0,1,1,0,0,0.3,1,1,0.3
Ryan Arcidiacono,PG,29,NYK,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
Patrick Baldwin Jr.,SF,21,WAS,2,0,4.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0,0,0.5,0,0,0,0,0
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Leaky Black,SF,24,CHO,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,1,0,1,0,0,0
Malcolm Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Bruno Fernando,C,25,ATL,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0.5,0
Trent Forrest,SG,25,ATL,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0
Alex Fudge,SF,20,LAL,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Kaiser Gates,SF,27,NOP,1,0,7,0,4,0,0,2,0,0,2,0,0,0,0,,0,1,1,0,0,0,0,0,0
Danny Green,SG,36,PHI,2,0,9,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,1,1,0.5,0.5,0,0,0.5,0
Mouhamed Gueye,PF,21,ATL,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0.5,0,0,0.5,0
R.J. Hampton,PG,22,MIA,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Gregory Jackson II,PF,19,MEM,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Keyontae Johnson,SF,23,OKC,1,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Cory Joseph,PG,32,GSW,3,0,3.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0.3,0.3,0.7,0.7,0.3,0,0,0.7,0
Maxwell Lewis,SF,21,LAL,3,0,4.3,0,0.7,0,0,0,,0,0.7,0,0,0,0,,0,0.3,0.3,0,0,0,0.3,0,0
Terance Mann,SG,27,LAC,1,0,19,0,2,0,0,2,0,0,0,,0,0,0,,0,4,4,1,0,0,2,1,0
KJ Martin,SF,23,PHI,3,0,2.7,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0.3,0.3,0.3,0,0,0.3,0.7,0
Garrison Mathews,SG,27,ATL,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,0,0,0,0,0.5,0
Leonard Miller,SF,20,MIN,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
Justin Minaya,SF,24,POR,1,0,8,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,1,1,0
Isaiah Mobley,PF,24,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0
Kris Murray,SF,23,POR,3,0,6.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0.3,0.3,0,0.7,0
Filip Petrušev,C,23,PHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Julian Phillips,SF,20,CHI,4,0,2.5,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0,0,0,0,0,0
Olivier-Maxence Prosper,PF,21,DAL,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
Jerome Robinson,SG,26,GSW,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
Rayan Rupert,SG,19,POR,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Brice Sensabaugh,SF,20,UTA,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
Jericho Sims,C,25,NYK,3,0,3,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0.3,1.3,1.7,0.3,0,0,0,0,0
Ish Smith,PG,35,CHO,2,0,6.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0.5,0,1.5,1.5,0
Lindy Waters III,SG,26,OKC,3,0,1.3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Jalen Wilson,PF,23,BRK,2,0,3.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0.5,0.5,0,0,0.5,0,0,0
Thaddeus Young,PF,35,TOR,1,0,2,0,0,,0,0,,0,0,,,0,2,0,0,1,1,1,0,0,0,0,0
