Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
KJ Martin,SF,23,LAC,2,0,15.5,2,5,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,1,1.5,5
Mason Plumlee,C,33,LAC,6,0,17,2,3.2,0.632,0,0,,2,3.2,0.632,0.632,1,2.3,0.429,1.3,4.2,5.5,1,0.7,0.2,0.8,1,5
Lester Quinones,SG,23,GSW,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,0,0,0,1,0,5
Josh Richardson,SG,30,MIA,5,0,23.4,2,6.6,0.303,0.6,3.2,0.188,1.4,3.4,0.412,0.348,0.4,0.6,0.667,0,2.2,2.2,2.4,0.2,0.2,1.4,2.4,5
Ryan Rollins,PG,21,WAS,6,0,7.7,1.3,2.8,0.471,0.2,0.3,0.5,1.2,2.5,0.467,0.5,2.2,2.7,0.813,0.3,1.3,1.7,1.7,1.3,0.3,1.2,1,5
Admiral Schofield,PF,26,ORL,1,0,3,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,0,0,0,0,0,0,0,0,5
Cole Swider,SF,24,MIA,1,0,2,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,0,0,5
Jabari Walker,SF,21,POR,8,0,13.3,1.6,4.1,0.394,0.3,1.4,0.182,1.4,2.8,0.5,0.424,1.4,1.6,0.846,1.1,2.4,3.5,0.4,0.9,0.5,0.9,2.1,4.9
Nicolas Batum,PF,35,TOT,5,0,19.6,1.8,3.2,0.563,1.2,2.6,0.462,0.6,0.6,1,0.75,0,0,,0.4,2.2,2.6,1.2,0.8,1,0.2,1.6,4.8
Keon Ellis,SG,24,SAC,4,1,9.5,1.5,2.8,0.545,1,2.3,0.444,0.5,0.5,1,0.727,0.8,1.8,0.429,0.3,1.3,1.5,0.3,1.3,0,0.5,0.8,4.8
Torrey Craig,SF,33,CHI,9,4,21.7,1.9,4.6,0.415,0.8,2,0.389,1.1,2.6,0.435,0.5,0.1,0.1,1,1.4,3.1,4.6,1.4,0.8,0.4,0.4,2.9,4.7
Craig Porter Jr.,PG,23,CLE,3,0,12.3,2,4.3,0.462,0,0.3,0,2,4,0.5,0.462,0.7,0.7,1,0.3,1.3,1.7,1,1,0.3,1,2,4.7
Paul Reed,C,24,PHI,7,0,13.1,2.3,3.9,0.593,0,0.4,0,2.3,3.4,0.667,0.593,0.1,0.3,0.5,1.9,3,4.9,0.9,0.4,0.4,1,2.3,4.7
Malachi Flynn,PG,25,TOR,8,0,13.4,1.5,3.6,0.414,1,2,0.5,0.5,1.6,0.308,0.552,0.6,0.6,1,0.4,1.4,1.8,2.1,1,0.1,1.3,1.5,4.6
Larry Nance Jr.,C,31,NOP,8,0,17,2,3.9,0.516,0.4,1,0.375,1.6,2.9,0.565,0.565,0.3,0.5,0.5,1.4,3.1,4.5,0.9,0.6,0.1,0.9,1.5,4.6
Emoni Bates,SF,20,CLE,2,0,14.5,1.5,4.5,0.333,1,3,0.333,0.5,1.5,0.333,0.444,0.5,1,0.5,0.5,2.5,3,0.5,0,0.5,0.5,0.5,4.5
D?vis Bert?ns,PF,31,OKC,2,0,11.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,,0.3,3,3,1,0,0.5,0.5,0.5,0.5,0,0,1.5,4.5
Ousmane Dieng,PF,20,OKC,8,0,12.4,1.6,4,0.406,0.9,2.9,0.304,0.8,1.1,0.667,0.516,0.4,0.5,0.75,0.6,1.8,2.4,1,0.1,0,0.5,0.6,4.5
